 ident,name,latitude_deg,longitude_deg
01MT,Crystal Lakes Resort Airport,48.78910065,-114.8799973
01NC,Topsail Airpark,34.47529984,-77.58139801
01NE,Detour Airport,40.84360123,-100.6529999
01NH,Moore Airfield,43.6445,-72.086998
01NJ,Albert Guido Memorial Heliport,40.7417984,-74.13710022
01NM,Champion Ranch Airport,33.008611,-104.540278
01NV,Lantana Ranch Airport,38.76390076,-119.0270004
01NY,Vassar Hospital Heliport,41.70009995,-73.94960022
01OI,Galion Community Hospital Heliport,40.73059845,-82.8015976
01OK,Lawrence Airport,35.294498,-98.636496
01OR,Red & White Flying Service Airport,43.119301,-121.044997
01PA,Pine Heliport,40.6556015,-80.05090332
01PN,Bierly(Personal Use) Airport,40.93059921,-77.73889923
01PS,Nort's Resort Airport,41.59590149,-76.02960205
01SC,York Airport,35.03210068,-81.25279999
01TA,Thirty Thirty Matlock Office Center Heliport,32.69419861,-97.11579895
01TE,Smith Field,32.73759842,-96.4280014
01TN,Colonial Air Park,34.9958992,-89.73059845
01TS,St Joseph Hospital Heliport,32.7285,-97.324501
01TX,Mims Farm Ultralightport,32.38759995,-96.87750244
01U,Duckwater Airport,38.85160065,-115.6340027
01UT,La Sal Junction Airport,38.30830002,-109.3960037
01VA,Pickles Airport,39.125,-77.92500305
01WA,Willapa Harbor Heliport,46.66320038,-123.8119965
01WI,Prehn Cranberry Company Airport,44.00999832,-90.3891983
01WN,Whidbey General Hospital Heliport,48.21340179,-122.6849976
01WT,Odyssey Heliport,47.518178,-122.210908
01WY,Keyhole Airport,44.34719849,-104.810997
01XA,Seton Medical Center Hays Heliport,30.007222,-97.853333
01XS,Meadowood Ranch Heliport,32.02019882,-95.74549866
02AK,Rustic Wilderness Airport,61.87689972,-150.0980072
02AL,Bass Field,30.37150002,-87.76439667
02AR,Three Rivers Airport,34.822445,-92.44442
02AZ,Winchester Farm Airstrip,32.376401,-109.936996
02CA,Swepi Beta Platform Ellen Heliport,33.58250046,-118.1289978
02CD,Shannon Field,34.12960052,-90.52400208
02CL,Conover Air Lodge Airport,34.761101,-119.058998
02CO,Mc Cullough Airport,37.6432991,-106.0469971
02CT,Strangers Point Heliport,41.91960144,-72.44450378
02FA,Osborn Airfield,28.52669907,-81.87480164
02FL,Cuchens Airport,30.642778,-86.123889
02GA,Doug Bolton Field,34.20259857,-83.42900085
02GE,Etowah Fields Airport,34.1753006,-84.92440033
02HI,K3 Helipad Heliport,21.36199951,-157.951004
02IA,Boone County Hospital Heliport,42.05609894,-93.87799835
02ID,Morgan Ranch Airport,44.55550003,-115.3050003
02II,King Ultralightport,40.06230164,-86.21050262
02IN,Diamond P. Field,40.20890045,-85.540802
02IS,Condell Medical Center Heliport,42.27460098,-87.95729828
02KS,Jmj Landing Airport,39.22219849,-96.05529785
02KT,St Claire Healthcare Heliport,38.181441,-83.443319
02KY,Boone National Guard Heliport,38.1833992,-84.89990234
02LA,La State Police Troop G Heliport,32.53129959,-93.66020203
02LS,Windy Hill Heliport,30.14830017,-91.91899872
02MA,Cuttyhunk Heliport,41.41960144,-70.92700195
02MD,Garner Field,38.672544,-76.709739
02ME,Nadeau's Airport,43.5373,-70.929397
02MI,Fairplains Airpark,43.15710068,-85.14849854
02MN,Greenbush Municipal Airport,48.68330002,-96.19200134
02MO,Troy Airpark,39.04999924,-91.03350067
02MS,Watts Field,34.10010147,-90.84680176
02MT,Barrett Field,47.2374,-111.74304
02MU,Timber Line Airpark,36.654233,-93.797418
02NC,Race City Heliport,35.541111,-80.597778
02NE,Benes Service Airport,41.07450104,-96.90450287
02NH,Iroquois Landing Seaplane Base,44.65710068,-71.21910095
02NJ,Penske Heliport,40.55730057,-74.46710205
02NV,Paiute Meadows Airport,41.30329895,-118.5979996
02NY,Hansen Heliport,43.13259888,-75.65550232
02OH,Zimmerman Airport,41.37639999,-83.08329773
02OI,Murtha Airport,41.80199814,-80.56539917
02OK,Canon Heliport,35.458401,-97.525297
02OR,Rowena Dell Airport,45.68149948,-121.3160019
02P,Stottle Memorial Heliport,40.403596,-77.556602
02PA,Lag Iii Heliport,40.43830109,-79.76999664
02PN,Peco Berwyn Heliport,40.06959915,-75.4552002
02PR,Cuylers Airport,18.45330048,-66.36689758
02PS,Hughes Ultralightport,41.90060043,-77.2303009
02SC,Harpers Airport,32.75849915,-81.22480011
02T,Wise River Airport,45.76910019,-112.9820023
02TA,Matagorda Shore Facility Heliport,28.72139931,-95.87380219
02TE,Baylor Medical Center Heliport,32.395401,-96.86419678
02TN,Ellis Field,35.7806015,-86.584198
02TS,FWOMC Heliport,32.747601,-97.370003
02TX,The Palms At Kitty Hawk Airport,33.37040329,-101.9228821
02UT,Lucin Airport,41.36629868,-113.8430023
02VA,The Greenhouse Airport,38.43569946,-77.85720062
02VG,Northstar Aviation Heliport,36.63880157,-82.11669922
02WA,Cawleys South Prairie Airport,47.15230179,-122.0940018
02WI,Beer Airport,45.0318985,-92.65579987
02WN,Fowler Field,48.74580002,-119.3190002
02XA,JLS Farms Airport,33.591319,-95.882864
02XS,Seidel Ranch Airport,30.14769936,-97.66280365
03AA,Trapper T Heliport,61.556055,-149.284527
03AK,Joe Clouds Seaplane Base,60.72722244,-151.132782
03AL,Highland Medical Center Heliport,34.662604,-86.046774
03AR,Hscmh Heliport,34.35760117,-92.78849792
03AZ,Thompson International Aviation Airport,31.4333992,-110.0839996
03CA,Grossmont Hospital Heliport,32.779484,-117.006952
03CO,Kugel-Strong Airport,40.21250153,-104.7440033
03FA,Lake Persimmon Airstrip,27.35309982,-81.40809631
03FD,Tharpe Airport,30.8288,-85.731003
03FL,Ranger Heliport,26.68370056,-80.18730164
03GA,HIA Airport,32.5623056,-81.8576944
03I,Clarks Dream Strip,39.644199,-83.018204
03IA,East Field,41.58190155,-92.46130371
03ID,Flying Y Ranch Airport,44.79430008,-116.5329971
03II,Davis Field Ultralightport,37.9620018,-87.77890015
03IL,Wix Airport,41.40230179,-87.8167038
03IN,Heinzman Airport,40.18000031,-86.01249695
03IS,OSF St Anthony's Health Center Heliport,38.904999,-90.173401
03KS,Valley Grain Heliport,39.86470032,-95.26409912
03KY,Flying H Farms Airport,37.79169846,-87.54139709
03LA,Damien Heliport,30.19960022,-91.12789917
03LS,Fmc Nr 1 Heliport,32.1590004,-91.70800018
03M,Lakeside Marina Seaplane Base,44.32089996,-69.88950348
03MA,Hadley Airport,42.39310074,-72.55200195
03MD,Upper Chesapeake Medical Center Heliport,39.52249908,-76.3266983
03ME,Maple Ridge Airport,44.08420181,-70.62729645
03MI,Harold Miller Heliport,43.55089951,-83.86219788
03MN,Nauerth Land Ranch Airport,43.62519836,-95.22470093
03MO,Cahoochie Airport,37.884499,-93.131599
03MS,Vicksburg Medical Center Heliport,32.31880188,-90.8832016
03MT,Cascade Field,47.267327,-111.71748
03MU,Mc Donnell Airport,38.49250031,-94.41249847
03N,Utirik Airport,11.222,169.852005
03NC,Pilots Ridge Airport,34.10430145,-77.90419769
03ND,Olafson Brothers Airport,48.62639999,-97.82900238
03NE,Hyde Ranch Airport,41.54639816,-99.33119965
03NH,Lorden Heliport,42.81539917,-71.12439728
03NJ,At&T Heliport,40.66870117,-74.41069794
03NV,Llama Ranch Airport,40.58440018,-115.2979965
03NY,Talmage Field,40.95840073,-72.71679688
03OH,Gibbs Field,41.41839981,-83.01740265
03OI,Marymount Hospital Heliport,41.42089844,-81.59980011
03OK,Sahoma Lake Airport,36.04119873,-96.16139984
03OR,Powwatka Ridge Airport,45.85540009,-117.4840012
03PA,Collegeville Heliport,40.16289902,-75.46569824
03PN,M.P. Metals Heliport,41.066861,-76.180806
03PR,Sun View Field Airport,39.065947,-94.921703
03PS,Ziggy's Field,40.849998,-77.905602
03S,Sandy River Airport,45.40179825,-122.2289963
03SC,Seacoast Medical Center Heliport,33.86500168,-78.66190338
03TA,Gay Hill Farm Airport,30.262699,-96.500198
03TE,Barronena Ranch Airport,27.49110031,-98.66950226
03TN,Eagles Landing Heliport,35.92250061,-83.57939911
03TS,Shannon Medical Center Heliport,31.4598999,-100.4380035
03TX,M D K Field,29.58160019,-95.30719757
03UT,A Z Minerals Corporation Airport,37.12080002,-109.9860001
03VA,Whipoorwill Springs Airport,38.66460037,-77.57969666
03WA,Spangle Field,47.40819931,-117.3720016
03WI,Zink Airport,44.028873,-88.883945
03WN,Aerostone Ranch Airport,45.875,-120.6699982
03XS,Creekside Airport,31.31809998,-100.7539978
04AA,Phil's Airport,60.535833,-150.811387
04AL,Anniston AHP (Anniston Army Depot),33.62639999,-85.96720123
04AR,Saline Memorial Hospital Heliport,34.574319,-92.586047
04AZ,Chinle Airport,36.15420151,-109.5510025
04CA,Gray Butte Field,34.5639,-117.675003
04CL,Hunt's Sky Ranch Airport,33.08169937,-116.4410019
04CT,Shingle Mill Heliport,41.75510025,-73.05239868
04F,De Leon Municipal Airport,32.098801,-98.525325
04FA,Richards Field,25.55870056,-80.51509857
04FD,Tampa General Hospital Brandon Healthplex Heliport,27.929372,-82.336981
04FL,Cross Creek Farms Airport,29.23940086,-81.22200012
04I,Columbus Southwest Airport,39.91120148,-83.188797
04IA,Middlekoop Airport,41.0882988,-92.05460358
04ID,Lanham Field,43.87770081,-116.5370026
04II,Turkey Run Airport,41.13059998,-84.99410248
04IL,Schertz Aerial Service - Hudson Airport,40.63750076,-89.00700378
04IN,Lake Gage Seaplane Base,41.701389,-85.113056
04IS,Van Gorder Airport,40.17860031,-88.56900024
04KS,Robinson Industries Heliport,38.97890091,-95.21970367
04KY,Natchez Trace Farm Airport,37.13510132,-85.78939819
04LA,St James Heliport,30.051111,-90.702222
04LL,Brunner Airport,42.13610077,-88.28759766
04LS,La National Guard Heliport,30.44610023,-91.1053009
04MA,Goddard Field (Airport),42.80979919,-71.1391983
04MD,Chesapeake City Heliport,39.51810074,-75.8214035
04ME,Beech Hill Airport,44.66669846,-69.89389801
04MI,Rapids Airway Airport,42.53450012,-84.62830353
04MN,Helblad Airport,47.9858017,-94.68689728
04MO,Airpark Private Airport,39.30120087,-91.45149994
04MS,Nick's Flying Service Inc Airport,32.9396019,-90.83730316
04MT,Pluhar Airport,47.13749778,-106.488095
04NC,Western Wake Medical Center Heliport,35.73920059,-78.78220367
04NE,Mc Connell Field Airport,41.15999985,-101.2990036
04NJ,Emmanuel Airport,39.59680176,-75.23349762
04NV,Kingston Ranch Airport,35.75550079,-115.6650009
04NY,Klaverack Airport,42.26229858,-73.69619751
04OG,Teufel Heliport,45.530833,-123.085556
04OH,Bossow Airport,41.2477,-81.100701
04OK,Stillwater Medical Center Heliport,36.11529922,-97.07949829
04OR,Collins Landing Strip,44.74990082,-120.2009964
04PA,S & C Distribution Center Heliport,39.87929916,-75.22879791
04PN,Strawbridge & Clothier Exton Heliport,40.0306619,-75.63021
04SC,Emergency Helipad,34.84059906,-82.60690308
04SD,Cheyenne River Health Center Heliport,44.993124,-101.243011
04TA,Capitol National Bank Building Heliport,30.27104167,-97.74469757
04TE,Veterans Affairs Medical Center Heliport,29.70019913,-95.38739777
04TN,Hensley Airpark,36.18330002,-82.67890167
04TS,Hummingbird Heliport,30.55349922,-97.60610199
04TX,Pocock Airport,31.73220062,-97.36889648
04UT,Navajo Mountain Airport,37.00830078,-110.7949982
04V,Saguache Municipal Airport,38.0990833,-106.1743889
04VA,Russell County Medical Center Heliport,36.898,-82.078
04VG,Manquin Flight Park Ultralightport,37.71440125,-77.21179962
04VT,Lightning Bolt Field Airport,44.40110016,-72.26360321
04W,Field of Dreams Airport,46.02280045,-92.895401
04WA,Ox Meadows Airport,47.58179855,-117.4369965
04WI,Dutch Gap Airstrip,42.52339935,-88.01670074
04WN,Stillwater Creek Airport,46.963889,-119.641667
04WV,West Virginia Univ. Hosp. Inc. Gnd. Pad #2 Heliport,39.65361111,-79.95611111
04XS,Schmidts Heliport,32.5821,-97.142502
05AK,Wasilla Creek Airpark,61.66830063,-149.1880035
05AL,Allen Stagefield Army Heliport,31.23119926,-85.64969635
05AR,Ozark Skies Airpark,36.000633,-93.57025
05AZ,Yuma Regional Medical Center Heliport,32.68280029,-114.6340027
05B,Van Buren Seaplane Base,47.158901,-67.931999
05CA,Lost Hills Sheriff's Station Heliport,34.13779831,-118.7139969
05CL,Pope Valley Airport,38.6106987,-122.3909988
05CO,Rancho De Aereo Airport,40.2149839,-104.9844228
05CT,O And G Heliport,41.77370071,-73.11620331
05FA,Melanie's Airport,30.91889954,-86.21829987
05FD,Aventura Heliport,25.96089935,-80.1391983
05FL,Charlton Strip,26.5230999,-81.40830231
05GA,Raju Airport,32.07139969,-84.71440125
05IA,Spotts Field,43.13750076,-93.06829834
05ID,Running Creek Ranch Airport,45.914101,-114.835999
05II,Reichhart Airport,41.02870178,-84.99720001
05IL,Classic Landings Airport,41.15670013,-88.01670074
05IN,Cooper Airport,39.64199829,-86.5042038
05IS,Hardy Airport,39.72589874,-89.26399994
05KS,Darbro Field,37.26620102,-95.959198
05KY,Cartersville Airport,37.53689957,-84.40720367
05LA,Greg's Flying Service Airport,32.26530075,-91.69779968
05LL,Midwest Heliport,41.74890137,-87.93509674
05LS,Grass Roots Airport,31.25219917,-92.47579956
05M,Pauls Valley General Hospital Heliport,34.71979,-97.214237
05MA,Bentley Heliport,42.69120026,-70.91230011
05MD,Breezecroft Airport,39.25009918,-76.2052002
05ME,Drisko Airport,44.6570015,-67.55919647
05MN,Northern Pines Medical Center Heliport,47.5175001,-92.2302778
05MO,Portageville Community Heliport,36.42979813,-89.68009949
05MS,Va Medical Center Jackson Heliport,32.31890106,-90.16809845
05MT,Jones Landing,45.815368,-111.152163
05NC,Brunswick Community Hospital Heliport,34.008099,-78.2911
05NE,Mc Kay Airport,41.72219849,-98.30899811
05NH,Stumpfield Heliport,42.9239006,-70.95140076
05NJ,Paulus Hook Pier Heliport,40.7140007,-74.03150177
05NV,Baker Ranches Airport,39.0311,-114.088219
05NY,Oswego County At Pulaski Heliport,43.55199814,-76.09020233
05OI,Dorlon Airpark,41.28839874,-81.96260071
05OK,Hawk Haven Airport,35.8534,-97.567497
05OR,Peacock Ranch Airport,45.44150162,-117.3509979
05PA,PECO Mob. Heliport,39.9548,-75.178201
05PN,State Police Area Iii Heliport,40.30009842,-76.85800171
05PS,Mills Brothers Airport,40.14279938,-77.86190033
05S,Vernonia Airfield,45.85150146,-123.2419968
05TA,Brandes Air Field,29.8090992,-96.26509857
05TE,Hilde-Griff Field,30.7220993,-97.79139709
05TN,Thurmond Glenn Field,35.556998,-89.552903
05TS,Dew Drop Airport,33.12929916,-97.3585968
05TX,Circle 'A' Ranch Airport,32.12919998,-97.40419769
05UT,Oljato Airport,37.03329849,-110.3170013
05V,Blanca Airport,37.41109848,-105.552002
05VA,Providence Airport,37.2242012,-78.41860199
05VT,Port of Highgate Springs Heliport,45.01330185,-73.08670044
05WA,Sacred Heart Medical Center Helistop,47.64820099,-117.4140015
05WI,Ames Private Airport,42.65110016,-88.74590302
05WN,Flat Creek Field,48.702222,-118.0475
05XS,Johnson Memorial Airport,33.07929993,-91.54319763
05Y,Henning Municipal Airport,46.30379868,-95.4394989
06AK,June Lake Airpark,61.627619,-149.575331
06AL,Brown Stagefield Army Heliport,31.38839912,-85.97239685
06AR,Bondair Airport,35.54449844,-92.18489838
06AZ,Mercy Gilbert Medical Center Heliport,33.28580093,-111.7529984
06B,Lucky Landing Marina and Seaplane Base,44.9070015,-68.80500031
06CA,Sce Solar I Heliport,34.87080002,-116.8339996
06CL,Abc7-Tv Heliport,35.15719986,-118.2890015
06CO,Jecan Airport,37.38750076,-103.6910019
06FA,William P Gwinn Airport,26.90839958,-80.3289032
06FD,Grass Roots Airpark,28.64170074,-81.88500214
06FL,Morton Plant Hospital Heliport,27.95339966,-82.8042984
06GA,Smith Heliport,33.7533989,-84.16210175
06I,Patoka Reservoir Landing Area Seaplane Base,38.4333992,-86.69110107
06IA,Rich Field,41.84140015,-91.83429718
06ID,Larkin Airport,43.46269989,-116.3590012
06IL,Humm Airport,41.59949875,-88.86990356
06IN,Ellis Fly-In Airport,39.282799,-87.303596
06IS,Sinele Strip,40.54639816,-91.27429962
06KS,Riverside Hospital Airlift Heliport,37.69580078,-97.37249756
06KY,Falcon Heliport,37.52590179,-83.34519958
06LA,Panther Helicopters Inc Heliport,29.84600067,-90.02780151
06LL,Hammersmith Heliport,41.8736,-88.496901
06LS,Tembec Heliport,30.70789909,-91.32019806
06MA,The Barn Heliport,42.69060135,-71.60900116
06MD,Bayview Heliport,39.29140091,-76.5463028
06ME,Barker Heliport,44.415247,-70.844275
06MI,W A Foote Memorial Hospital Heliport,42.25109863,-84.3914032
06MN,Pike Field Airport,47.65190125,-92.41670227
06MO,Noahs Ark Airport,39.23059845,-94.80439758
06MT,Torgerson Airport,48.55830002,-112.1090012
06N,Randall Airport,41.43199921,-74.39160156
06NC,Tailwinds Airport,34.82749939,-78.93029785
06ND,Fitterer's Strip,46.74890137,-101.6689987
06NE,St Marys Hospital Heliport,40.68000031,-95.86170197
06NH,Cole Farm Airport,42.92839813,-70.97309875
06NJ,Chemical Bank - New Jersey Na Heliport,39.950102,-74.999603
06NV,Silver Creek Airport,39.098333,-114.150277
06NY,Murphy Field,42.84280014,-76.44529724
06O1,Saint Elizabeth Medical Center Heliport,41.1147995,-80.65699768
06OH,Hal Joy Airfield,41.50979996,-80.59120178
06OI,Green Acres Airport,39.73479843,-84.38220215
06OK,Albert Lodge Heliport,36.54169846,-94.83360291
06OR,Hayden Mountain Airport,45.46509933,-123.0800018
06PA,Freefall Oz Airport,41.995792,-78.288152
06PN,Schiavoni Heliport,40.382733,-76.772533
06PS,Cherokee Island Castle Heliport,40.40230179,-79.9213028
06R,Grawunder Field,29.94190025,-96.24610138
06SN,Beyer Farm Airport,37.58390045,-97.25309753
06TA,Glaser Field,30.90850067,-97.11689758
06TE,Ainsworth Airport,30.31270027,-95.02690125
06TN,Hunter STOLport,35.69729996,-86.95690155
06TS,Roscoe Mc Connico Airport,32.120701,-96.179101
06TX,Diamond N Ranch Airport,30.05760002,-95.81289673
06VA,Mount Horeb Field,38.24900055,-78.8553009
06WA,N A Degerstrom Yard Heliport,47.68629837,-117.197998
06WI,Young Private Airport,45.66270065,-92.45020294
06WN,Western Airpark,46.92499924,-122.5530014
06XS,Campbell Field,33.3246994,-97.04419708
06Y,Herman Municipal Airport,45.83000183,-96.16059875
07AA,Pan Lake Strip Airport,61.6959639,-149.9549028
07AL,Tac X Stagefield Army Heliport,31.12520027,-85.97910309
07AR,Morrilton Airport,35.19449997,-92.80020142
07AZ,John C Lincoln Hospital Heliport,33.56669998,-112.0690002
07B,Blue Hill Airport,44.44800186,-68.56970215
07CA,West Side Hospital Heliport,35.13890076,-119.4509964
07CL,Richvale Airport,39.49769974,-121.7710037
07CO,Comanche Creek Airport,39.2635994,-104.427002
07CT,Tnt Heliport,41.45289993,-72.24960327
07D,Tackaberry Airport,43.0644989,-82.72380066
07FA,Ocean Reef Club Airport,25.3253994,-80.27480316
07FD,Flying G Ranch STOLport,30.417999,-83.283796
07FL,Southwest Florida Regional Medical Center Heliport,26.60540009,-81.85949707
07GA,Alcovy Airport,33.67499924,-83.76309967
07I,Lake Monroe Seaplane Base,39.05870056,-86.44609833
07ID,Interstate Airport,42.27819824,-113.3050003
07II,St Vincent Jennings Hospital Heliport,39.01060104,-85.64080048
07IN,Gray Airport,39.57369995,-85.91390228
07K,Central City Municipal - Larry Reineke Field,41.11259842,-98.05169678
07KS,Heape Field,37.73419952,-96.93669891
07KY,Blue Lick Airport,38.08060074,-85.69329834
07LA,Air Oil Inc Nr 1 Heliport,29.937099,-90.183701
07LS,LA State Police Troop F Heliport,32.51810074,-91.98899841
07MA,West Pond Heliport,41.91699982,-70.70950317
07MD,Baugher's Orchard Airport,39.60829926,-77.05190277
07ME,Westbrook Heliport,43.73830032,-70.33920288
07MI,Scott Airstrip,43.86420059,-85.02390289
07MN,Dairyview Airport,44.05500031,-95.90950012
07MO,Lake Sexton Airport,38.65000153,-93.61689758
07MT,Glasgow Industrial Airport,48.42110062,-106.5279999
07N,Bermudian Valley Airpark,40.01679993,-77.00389862
07NC,Hawks Meadow Airport,34.83319855,-80.75119781
07NH,Diving Rock Seaplane Base,43.17559814,-72.06390381
07NJ,Hackensack UMC Palisades Heliport,40.793666,-73.994863
07NV,Border Line Farm Airport,39.102239,-114.053472
07NY,Mmc Heliport,42.66640091,-74.76499939
07OH,Tennessee Gas Heliport,39.9373,-81.683503
07OK,Pleasant Valley Airport,34.63339996,-99.03369904
07OR,Bruce's Airport,45.42179871,-122.6200027
07PN,Folmar Airport,40.998889,-78.125278
07SN,Churchill Airport,39.77280045,-99.36009979
07TA,Salaika Aviation Heliport,29.240519,-95.344658
07TE,Cuddihy Field,27.72109985,-97.51280212
07TN,Corntassel Airport,35.5685997,-84.2410965
07TS,Cross-Country Estates Airport,30.625,-97.57279968
07TX,Pecks Heliport,33.18399811,-96.44799805
07UT,E Northrop Grumman Airport,41.716667,-112.447222
07VA,Alpha Hotel Airport,36.81959915,-78.78309631
07VT,Meadow STOLport,44.44720078,-72.91470337
07WA,Multicare Deaconess Hospital Heliport,47.651637,-117.424477
07WI,Bartell Strip,42.965302,-88.391502
07XS,Allen Ponderosa Heliport,32.54219818,-97.39170074
07Y,Hill City-Quadna Mountain Airport,46.95550156,-93.59690094
08AK,Fisher Airport,61.569639,-149.724439
08AR,Crittenden Regional Hospital Heliport,35.142046,-90.190212
08AZ,Mesa Police Heliport,33.41740036,-111.836998
08B,Merrymeeting Field,44,-69.88710022
08CA,Pg & E Co. Placerville Svc Center Heliport,38.69490051,-120.8270035
08CL,Kistler Ranch Airport,37.85960007,-120.5540009
08CN,Tulare Motor Sports #1 Heliport,36.172031,-119.306181
08CO,Terra Firma Airport,38.73249817,-104.0410004
08CT,Seavair's Landing Seaplane Base,41.89599991,-73.0931015
08F,City of Coalgate Airport,34.53179932,-96.23310089
08FA,Duda Airstrip,26.57979965,-81.48370361
08FD,Sunniland Ranch Airport,27.36310005,-80.77279663
08FL,J. H. Hendrie Farms Airport,27.08449936,-81.3286972
08G,Salt Fork Lodge Heliport,40.11090088,-81.52619934
08GA,Sapelo Island Airport,31.42580032,-81.2858963
